"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000115183",783.285243896018,-0.373560930386044,0.0739311212383023,-5.05282381937567,4.3532542282775e-07,1.43739789421182e-06,"TANC1","85461","tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1"
"ENSG00000143207",797.905472754773,0.357294869690947,0.0707119412568668,5.05282224388444,4.35329015067963e-07,1.43739789421182e-06,"COP1","64326","COP1 E3 ubiquitin ligase"
"ENSG00000130347",87.5700042094349,-0.982058674421983,0.194485162418894,-5.04953006289892,4.4289823691934e-07,1.46206182030227e-06,"RTN4IP1","84816","reticulon 4 interacting protein 1"
"ENSG00000144381",4979.22608401379,-0.220070484478309,0.0435898020733947,-5.04866904666747,4.44898692374022e-07,1.46833560794751e-06,"HSPD1","3329","heat shock protein family D (Hsp60) member 1"
"ENSG00000114544",496.488590483902,0.442497380516476,0.0876691702976542,5.04735449205359,4.47969705353439e-07,1.4781390322646e-06,"SLC41A3","54946","solute carrier family 41 member 3"
"ENSG00000157827",772.249076333749,0.420038254188568,0.0832214997823655,5.04723244939133,4.48255851935724e-07,1.47875105882232e-06,"FMNL2","114793","formin like 2"
"ENSG00000164291",469.869942734329,-0.443291735151141,0.0878303984433274,-5.04713337304482,4.48488280348481e-07,1.4791856394969e-06,"ARSK","153642","arylsulfatase family member K"
"ENSG00000105325",816.216197222375,-0.367315682141241,0.0727978746456034,-5.04569239046355,4.51881927043688e-07,1.49004388513396e-06,"FZR1","51343","fizzy and cell division cycle 20 related 1"
"ENSG00000174807",7919.52227428727,-0.206174263502526,0.0408642329570986,-5.0453476936415,4.52697383750756e-07,1.4923977933794e-06,"CD248","57124","CD248 molecule"
"ENSG00000105926",243.006917585588,-0.634402474005245,0.125752460681772,-5.04485137360975,4.5387403263448e-07,1.49594111272168e-06,"PALS2","51678","protein associated with LIN7 2, MAGUK p55 family member"
"ENSG00000181544",35.8130078403058,-1.66550649063473,0.330233379726306,-5.04342260014746,4.57277785717446e-07,1.50682159537669e-06,"FANCB","2187","FA complementation group B"
"ENSG00000181027",717.409876468605,0.382035604330803,0.0757546158926001,5.04306701089248,4.58128721390972e-07,1.5092870413172e-06,"FKRP","79147","fukutin related protein"
"ENSG00000103111",501.415639034374,-0.432834324907477,0.0858286363826965,-5.04300596105869,4.58274969007356e-07,1.50943033513858e-06,"MON1B","22879","MON1 vesicular trafficking associated B"
"ENSG00000218739",697.340554666777,-0.393264264882151,0.0779923424068158,-5.04234457827726,4.59862230501527e-07,1.51431879983578e-06,"CEBPZOS","100505876","CEBPZ opposite strand"
"ENSG00000166532",140.727551499225,-0.774180995198887,0.153540299360363,-5.04220063673228,4.60208379731206e-07,1.51511902695012e-06,"RIMKLB","57494","ribosomal modification protein rimK like family member B"
"ENSG00000122390",684.126785617708,0.377314885180145,0.0748395625643904,5.04165006116265,4.61534719167162e-07,1.5191451993201e-06,"NAA60","79903","N-alpha-acetyltransferase 60, NatF catalytic subunit"
"ENSG00000118046",967.085179284982,0.340617772354883,0.0675791312604008,5.04028042388396,4.64850197046502e-07,1.52971536617677e-06,"STK11","6794","serine/threonine kinase 11"
"ENSG00000167106",590.221838589472,-0.400730762686153,0.0795067284853321,-5.04021194583654,4.65016563287037e-07,1.52992011527135e-06,"EEIG1","399665","estrogen-induced osteoclastogenesis regulator 1"
"ENSG00000136044",982.828859929262,-0.370778203874019,0.073571994472734,-5.03966497756739,4.66347476287864e-07,1.5339553127337e-06,"APPL2","55198","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2"
"ENSG00000080823",154.926012239338,-0.734282215204477,0.145723568130611,-5.0388706825127,4.68286742060639e-07,1.53974015726219e-06,"MOK","5891","MOK protein kinase"
"ENSG00000179152",271.873931200436,-0.574984896779494,0.114110142551164,-5.03885880715366,4.68315794598194e-07,1.53974015726219e-06,"TCAIM","285343","T cell activation inhibitor, mitochondrial"
"ENSG00000143507",596.633228341411,-0.403762698968774,0.0801953686950232,-5.03473835882284,4.78501939331708e-07,1.57287838191604e-06,"DUSP10","11221","dual specificity phosphatase 10"
"ENSG00000108587",804.990843726724,0.356625847778801,0.0708811575942744,5.03132087402039,4.87112094399642e-07,1.60082252052142e-06,"GOSR1","9527","golgi SNAP receptor complex member 1"
"ENSG00000124466",26.0759906185871,1.96271789992369,0.390158030594828,5.03057157873019,4.89019774087485e-07,1.60673238231831e-06,"LYPD3","27076","LY6/PLAUR domain containing 3"
"ENSG00000149231",447.82925206052,0.45720682077264,0.0908882194851265,5.03042994309577,4.89381182291307e-07,1.6075602790383e-06,"CCDC82","79780","coiled-coil domain containing 82"
"ENSG00000175029",913.923822587749,-0.33432783750491,0.0664784162194928,-5.02911856986867,4.92739638020639e-07,1.61823055723747e-06,"CTBP2","1488","C-terminal binding protein 2"
"ENSG00000066629",1021.65845494585,0.323706819598683,0.0644186056082377,5.02505163752392,5.03297096806759e-07,1.65253338222872e-06,"EML1","2009","EMAP like 1"
"ENSG00000126461",1819.04150765811,-0.276907447189277,0.0551079259675128,-5.02482070097357,5.03903091061683e-07,1.65415338719466e-06,"SCAF1","58506","SR-related CTD associated factor 1"
"ENSG00000137947",372.288840283779,0.48628515207442,0.0967963522635876,5.02379625577428,5.06599804049909e-07,1.66263429881438e-06,"GTF2B","2959","general transcription factor IIB"
"ENSG00000103423",666.561019023034,-0.420937473795439,0.0838119589294034,-5.02240347526066,5.10288441565763e-07,1.6743661395133e-06,"DNAJA3","9093","DnaJ heat shock protein family (Hsp40) member A3"
"ENSG00000081026",202.899381499931,-0.660912989881968,0.131600064779542,-5.02213270935039,5.11008538282402e-07,1.67635449472275e-06,"MAGI3","260425","membrane associated guanylate kinase, WW and PDZ domain containing 3"
"ENSG00000126934",2773.77872693061,0.245295672809197,0.0488804926832141,5.01827333040432,5.21379619917379e-07,1.70999477932268e-06,"MAP2K2","5605","mitogen-activated protein kinase kinase 2"
"ENSG00000203772",110.596613087093,-0.876448118473262,0.174667816105852,-5.0177997184216,5.22666225291227e-07,1.71383188605538e-06,"SPRN","503542","shadow of prion protein"
"ENSG00000129474",989.752725069577,-0.325420856079643,0.064856405682542,-5.01755921647134,5.23320739859203e-07,1.71559510567545e-06,"AJUBA","84962","ajuba LIM protein"
"ENSG00000110514",709.053185498564,-0.369882318822899,0.0737682152812341,-5.01411505501059,5.3278100610468e-07,1.74621887096782e-06,"MADD","8567","MAP kinase activating death domain"
"ENSG00000054983",444.487825605581,0.453916355598493,0.0905298069301096,5.01399893571985,5.33102813583122e-07,1.74688385713497e-06,"GALC","2581","galactosylceramidase"
"ENSG00000179364",848.7075393482,0.349304939330315,0.0697002218532694,5.01153267583079,5.39982118356562e-07,1.76903151620381e-06,"PACS2","23241","phosphofurin acidic cluster sorting protein 2"
"ENSG00000129968",888.030390635174,-0.344583313551075,0.0687728146358459,-5.0104582075876,5.43005901029695e-07,1.77854106714074e-06,"ABHD17A","81926","abhydrolase domain containing 17A, depalmitoylase"
"ENSG00000197892",491.087989958091,-0.458982037474673,0.0916111931938799,-5.01010871568187,5.43992959765264e-07,1.78137685665442e-06,"KIF13B","23303","kinesin family member 13B"
"ENSG00000147669",287.869096517577,-0.563508189114762,0.112527225937794,-5.00774976383295,5.50700659728813e-07,1.80294020312375e-06,"POLR2K","5440","RNA polymerase II, I and III subunit K"
